block,register,field,type,unit,scale,since,description
Legacy main value,1,mainValue,U16,see mainValueUnit,0.001,,"Filtered main value multiplied by 1000, truncated to an integer. Kept for legacy masters that can only read one register. Prefer register 1026, which is a float and does not clip."
Identification,800,swVersionMajor,U16,,,,"Firmware version, major"
Identification,801,swVersionMinor,U16,,,,"Firmware version, minor"
Identification,802,swVersionPatch,U16,,,,"Firmware version, patch"
Identification,803,hwVersionMajor,U16,,,,"Hardware version, major"
Identification,804,hwVersionMinor,U16,,,,"Hardware version, minor"
Identification,805,deviceType,U16,,,,"Device identity, self-reported. 0x50 = density / concentration meter, 0x51 = spectral concentration meter. Firmware older than this feature answers exception 02; treat that as 'type unknown' rather than as an error."
Measurement result block,1000,moduleStatus,U32,,,,"Module status bit flags, see docs/error-codes.md"
Measurement result block,1002,wires,U16,,,,"Hardware wire count. Not used, ignore."
Measurement result block,1003,initProgress,U16,%,,,"Power-on initialisation progress, 0-100"
Measurement result block,1004,measureErrorCode,U16,,,,"Measurement error bits, 0 = OK. See docs/error-codes.md. THIS is the field that tells you whether the reading is fresh."
Measurement result block,1005,systemErrorCode,U16,,,,"System error bits, 0 = OK"
Measurement result block,1006,signalStrength,U16,,,,Echo signal strength
Measurement result block,1007,signalQuality,F32,,,,"Signal quality, 0.0-1.0"
Measurement result block,1009,currentCalibrationDataNo,U16,,,,Active calibration data set number
Measurement result block,1010,currentCalibrationMethod,U16,,,,Active calibration method
Measurement result block,1011,energyVoltage,F32,mV,,,Raw energy voltage
Measurement result block,1013,energyVoltageFiltered,F32,mV,,,Filtered energy voltage
Measurement result block,1015,energyChange,F32,mV,,,Energy change against the reference baseline
Measurement result block,1017,energyChangeFiltered,F32,mV,,,Filtered energy change
Measurement result block,1019,intermediateValueRaw,F32,,,,Intermediate result from the calibration table
Measurement result block,1021,intermediateValueFiltered,F32,,,,Filtered intermediate result
Measurement result block,1023,intermediateValueUnit,U16,,,,"Unit code for the intermediate value, see unit table"
Measurement result block,1024,mainValueRaw,F32,,,,"Main process value, unfiltered"
Measurement result block,1026,mainValueFiltered,F32,,,,"Main process value, filtered. THIS IS THE ONE YOU WANT for control and trending."
Measurement result block,1028,mainValueUnit,U16,,,,"Unit code for the main value, see unit table"
Measurement result block,1029,ok,U16,,,,"Sampling quality for this cycle, 1 = good. NOT a freshness flag - see the warning in docs/error-codes.md before using it."
Measurement result block,1030,targetAverageCount,U16,,,,Configured averaging count
Measurement result block,1031,actualAverageCount,U16,,,,Averaging count actually achieved this cycle
Measurement result block,1032,energyStdDeviation,U16,,0.01,,Standard deviation of energy across frames
Measurement result block,1033,energyRaw,U16,,,,Raw energy reading
Measurement result block,1034,dc,U16,,0.1,,DC offset
Measurement result block,1035,dcStdDeviation,U16,,0.01,,Standard deviation of the DC offset
Measurement result block,1036,gain,U16,,,,"Receive gain, recorded for diagnostics"
Measurement result block,1037,currentMode,U16,,,,"0 = normal output, non-zero = current-loop calibration mode. When non-zero the 4-20 mA output is held at a fixed test value and does NOT follow the process."
Measurement result block,1038,output1Connected,U16,,,,Loop 1 detected as connected
Measurement result block,1039,output1Type,U16,,,,"What loop 1 carries: 0 = main value, 1 = temperature, 2 = energy"
Measurement result block,1040,output1Value,F32,,,,Process value mapped to loop 1
Measurement result block,1042,output1Unit,U16,,,,Unit code for loop 1
Measurement result block,1043,output1Percent,F32,,,,"Loop 1 position within its span, 0.0-1.0"
Measurement result block,1045,output1Current,F32,mA,,,Loop 1 present current
Measurement result block,1047,output1OldCurrent,F32,mA,,,Loop 1 previous current
Measurement result block,1049,output2Connected,U16,,,,Loop 2 detected as connected
Measurement result block,1050,output2Type,U16,,,,"What loop 2 carries, same codes as output1Type"
Measurement result block,1051,output2Value,F32,,,,Process value mapped to loop 2
Measurement result block,1053,output2Unit,U16,,,,Unit code for loop 2
Measurement result block,1054,output2Percent,F32,,,,"Loop 2 position within its span, 0.0-1.0"
Measurement result block,1056,output2Current,F32,mA,,,Loop 2 present current
Measurement result block,1058,output2OldCurrent,F32,mA,,,Loop 2 previous current
Measurement result block,1060,relayState,U16,,,,Relay output state
Measurement result block,1061,txVoltage,U16,V,0.01,,Transmit excitation voltage
Measurement result block,1062,adReference,U16,mV,,,ADC reference voltage
Measurement result block,1063,referenceVoltagePoint1,U16,mV,,,Reference point 1
Measurement result block,1064,referenceVoltagePoint2,U16,mV,,,Reference point 2
Measurement result block,1065,mcuTemperature,I16,degC,0.1,,MCU die temperature
Measurement result block,1066,boardTemperature,I16,degC,0.1,,Board temperature
Measurement result block,1067,sensorTemperatureValid,U16,,,,1 = the probe temperature below is valid. Check this before trusting register 1068.
Measurement result block,1068,sensorTemperature,F32,degC,,,Probe (process) temperature from the PT1000
Measurement result block,1070,gainAdjustSupported,U16,,,,Hardware supports programmable gain
Measurement result block,1071,txGain,U16,,,,Transmit gain setting
Measurement result block,1072,rxGain1,U16,,,,Receive gain stage 1
